task,version,run,sample_order,prompt_sha256,logged_prompt_tokens_raw,recounted_raw_tokens,recounted_chat_tokens,component_current_program_tokens,component_history_tokens,component_instruction_tokens,component_operator_direction_tokens,component_reference_history_tokens,component_reference_program_tokens,component_target_signature_tokens,component_task_tokens
tsp,v9,v9_20260807_123753_v9_tsp_rep3,887,08a382904cd116f8b38f618392920fc7058715565261fd0cf1e4bc48fbf52b6a,6449,6449,6461,5189,873,122,31,0,0,121,113
tsp,v9,v9_20260807_123753_v9_tsp_rep3,931,2a039e2cdd6e372592cd099ca132b19b63d2981383ee5cfef37bd725196b30bf,9102,9102,9114,7665,1050,122,31,0,0,121,113
tsp,v9,v9_20260807_123753_v9_tsp_rep2,200,601adce31c82f30b07d1deaf660434f2f253d0fb3395aa44612b8db69cd81177,3325,3325,3337,1907,1031,122,31,0,0,121,113
tsp,v9,v9_20260807_123753_v9_tsp_rep1,463,4dbe441d28d89e08cfd86d0ca22ec0434d7e89c3c8fe45a3b541b5723922e584,2875,2875,2887,1603,885,122,31,0,0,121,113
tsp,v9,v9_20260807_123753_v9_tsp_rep2,642,1725433e23ed98c2f83d503f9e4701e789e60db8b400c6699b070c1f7c5adade,3350,3350,3362,1926,1037,122,31,0,0,121,113
tsp,v9,v9_20260807_123753_v9_tsp_rep2,135,a88746b17b89f2e5474d15bee8e2f9006c32d4b88a67a51be8fcff020d598995,3073,3073,3085,1863,823,122,31,0,0,121,113
tsp,v9,v9_20260807_123753_v9_tsp_rep1,489,9e22c825e7abab0d0e1e3b312ba5d6be839b79fc60adac18a793be447584de03,3314,3314,3326,1964,963,122,31,0,0,121,113
tsp,v9,v9_20260807_123753_v9_tsp_rep3,854,6b20e3e094974e2738f5747d4705a175f06fe95f1767f648aa490375728fac31,3950,3950,3962,2678,885,122,31,0,0,121,113
tsp,v9,v9_20260807_123753_v9_tsp_rep2,958,b093f480b07af35ed80f5f73b37bcbfd867bfa4820dae35c9fb99774464eaf8d,5637,5637,5649,3985,1265,122,31,0,0,121,113
tsp,v9,v9_20260807_123753_v9_tsp_rep3,860,bc5012538c3dfd7ec0fb90201f100533e7b01459531398e04cbb0b6d4dd4f0ce,5126,5126,5138,3167,964,122,33,26,580,121,113
tsp,v9,v9_20260807_123753_v9_tsp_rep2,496,9aed9bc98bcbf66785a074bd2780f4fd76f4b29b07da4ac4d123b63934d7698a,2873,2873,2885,1584,899,122,34,0,0,121,113
tsp,v9,v9_20260807_123753_v9_tsp_rep3,122,e47a781725e307e9208db6fe999a08d943465daea06ef1165ef9a38f3d177f46,3382,3382,3394,2116,879,122,31,0,0,121,113
tsp,v9,v9_20260807_123753_v9_tsp_rep3,279,f67b5afc9d8e09515bd27039780d6d122909b171cddf65d5a0cf877db6d036b6,3393,3393,3405,1328,1070,122,33,26,580,121,113
tsp,v9,v9_20260807_123753_v9_tsp_rep1,226,165d65a867a6c391a5dd5d28fa3b06634c5beed35ce44e394b9149f4f05890db,2568,2568,2580,1283,898,122,31,0,0,121,113
tsp,v9,v9_20260807_123753_v9_tsp_rep3,943,5d53204cf03c5b0c7ed41b0b53022928df6be76fb10d524bf9b8f1f493ed6794,6926,6926,6938,4633,1038,122,33,26,840,121,113
tsp,v9,v9_20260807_123753_v9_tsp_rep1,269,82ea70d475f2b2a9ee3e3f53de125c818b66fd80cbcaa613cbe0e470cf19f379,3873,3873,3885,1713,907,122,33,26,838,121,113
tsp,v9,v9_20260807_123753_v9_tsp_rep1,445,98ed609753baf34f5d261900a98af8453bab58b4b1a1fc74f739f1a040c9173b,4171,4171,4183,2023,895,122,33,26,838,121,113
tsp,v9,v9_20260807_123753_v9_tsp_rep3,315,6201f0757cf091ef5836b671fb2738859ba9a5d28e6d14a8b031c7da6426a1ac,3768,3768,3780,1696,1077,122,33,26,580,121,113
tsp,v9,v9_20260807_123753_v9_tsp_rep2,799,0e02e1b34573af05d7bf32c1b50d420e6b3df10050b695cb82148cadc6a1296f,3644,3644,3656,1993,1261,122,34,0,0,121,113
tsp,v9,v9_20260807_123753_v9_tsp_rep3,239,1b9b3879d7c1b120497425bc4cd7758d446ecb9e8b4f0154335d18a2207306de,2984,2984,2996,1515,1082,122,31,0,0,121,113
tsp,v95,v9_5_20260811_171029_tsp_rep3,580,00dd542b988dbded775468b2827f2d229f5364c5988d8315c8f562e18c3b119e,5152,5152,5164,1722,3178,139,0,0,0,0,113
tsp,v95,v9_5_20260811_171029_tsp_rep2,163,fb4b4164e6f8469c719908b8ef0c0bb15870ca6ad062749c3d955762b901c339,5996,5996,6008,2595,3149,139,0,0,0,0,113
tsp,v95,v9_5_20260811_171029_tsp_rep3,828,3ca5b64f6f4a6249ca626e6c1fea816974968fa621830c6717d48d721283f4be,5386,5386,5398,1931,3203,139,0,0,0,0,113
