run,task,method,model,num_samples,llm_calls,best_score,best_sample_order,breakthrough_count,breakthrough_rate_w10,first_breakthrough_window,last_breakthrough_window,n_windows,best_update_event_count,strict_fitness_event_count,tie_shorter_count,unclassified_best_update_count,lrr,mean_delta,mean_pcd,n_edges,avg_novelty,init_novelty,mean_h_spatial,mean_h_fitness,operator_mix
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,/home/fzy/models/Qwen3.6-27B-NVFP4,1000,66,-8.73613017267702,966,24,0.18,1.0,97.0,100,24,0,0,24,0.1505016722408027,-0.3657792161943712,0.07035422788934509,897,0.07134748132051681,0.29208706362893155,2.2069713474410673,2.2065606536006506,"{""init"": 27, ""trace_ideate"": 468, ""trace_refine"": 429}"
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,/home/fzy/models/Qwen3.6-27B-NVFP4,1000,258,-8.648159476545228,973,24,0.2,1.0,98.0,100,24,0,0,24,0.12903225806451613,-0.48553284715966344,0.07396748004092346,930,0.07449398799653084,0.29615878207378393,2.2413096972701663,2.2410793203301878,"{""init"": 25, ""trace_ideate"": 471, ""trace_refine"": 459}"
20260723_204526_cvrp_v4_rep3,cvrp_aco,version4,/home/fzy/models/Qwen3.6-27B-NVFP4,1000,132,-8.610797366843634,912,19,0.17,1.0,57.0,100,19,0,0,19,0.12934782608695652,-0.6067131277459413,0.06947806596148376,920,0.07044928372442988,0.3293698092867333,2.234829582130417,2.234227786192587,"{""init"": 29, ""trace_refine"": 464, ""trace_ideate"": 456}"
20260728_151736_cvrp_v5_rep1,cvrp_aco,version5,/home/fzy/models/Qwen3.6-27B-NVFP4,1000,1487,-8.692212068318492,978,30,0.26,1.0,98.0,100,38,30,8,0,0.1774193548387097,-1.111462239061995,0.08550169268524062,930,0.061348708179597616,0.3100569377387689,2.2340914336571847,2.233462454979824,"{""init"": 30, ""trace_ideate"": 207, ""trace_transfer"": 228, ""trace_refine"": 261, ""trace_synthesize"": 234}"
20260728_151736_cvrp_v5_rep2,cvrp_aco,version5,/home/fzy/models/Qwen3.6-27B-NVFP4,1000,1486,-8.811063488503025,915,21,0.15,1.0,61.0,100,38,21,17,0,0.14705882352941177,-0.7994979839168163,0.07096846622735735,952,0.05375724062396932,0.3193389267049709,2.24961838179507,2.246403732218131,"{""init"": 30, ""trace_ideate"": 240, ""trace_synthesize"": 227, ""trace_refine"": 250, ""trace_transfer"": 235}"
20260728_151736_cvrp_v5_rep3,cvrp_aco,version5,Qwen3.6-27B,1000,1485,-8.648380692807965,993,24,0.19,1.0,69.0,100,33,24,9,0,0.16261879619852165,-0.4618249114167363,0.09145658115186903,947,0.06794738430772895,0.274173247780593,2.2593584997429885,2.2589760842869855,"{""init"": 30, ""trace_refine"": 222, ""trace_transfer"": 256, ""trace_ideate"": 249, ""trace_synthesize"": 220}"
v6_20260801_183249_cvrp_v6_rep1,cvrp_aco,version6,/home/fzy/models/Qwen3.6-27B-NVFP4,1000,1492,-8.689669869689618,674,24,0.2,1.0,68.0,100,24,23,1,0,0.12627986348122866,-1.2297415603438682,0.1557070302499038,879,0.11488336033424014,0.3067803817847361,2.187937312997806,2.1857741440077434,"{""init"": 30, ""trace_ideate"": 363, ""trace_refine"": 383, ""trace_transfer"": 78, ""trace_synthesize"": 55}"
v6_20260801_183249_cvrp_v6_rep2,cvrp_aco,version6,/home/fzy/models/Qwen3.6-27B-NVFP4,1000,1487,-8.759199614345254,515,21,0.18,1.0,52.0,100,23,21,2,0,0.10852713178294573,-1.1435045230358218,0.14777797521613753,903,0.11280021322923711,0.3136035605459053,2.2197236580972426,2.2188218789933423,"{""init"": 30, ""trace_ideate"": 336, ""trace_refine"": 428, ""trace_synthesize"": 73, ""trace_transfer"": 66}"
v6_20260801_183249_cvrp_v6_rep3,cvrp_aco,version6,Qwen3.6-27B,1000,1488,-8.569330969820511,966,26,0.21,1.0,97.0,100,28,26,2,0,0.14316239316239315,-0.5229346096664147,0.16128372288986895,936,0.11284034914160972,0.2941282404761391,2.2544897877513237,2.2540063747094066,"{""init"": 30, ""trace_ideate"": 379, ""trace_refine"": 425, ""trace_synthesize"": 64, ""trace_transfer"": 68}"
20260729_230434_obp_v4_rep1,online_bin_packing,version4,Qwen3.6-27B,1000,1490,-724.0,787,9,0.08,11.0,79.0,100,9,0,0,9,0.06827731092436974,-83.08377100840336,0.09619958634952645,952,0.0867735379388858,0.2634199387326894,2.265095098354783,2.264879932846205,"{""init"": 29, ""trace_refine"": 481, ""trace_ideate"": 471}"
20260729_230434_obp_v4_rep2,online_bin_packing,version4,Qwen3.6-27B,1000,1488,-727.0,521,11,0.11,9.0,53.0,100,11,0,0,11,0.07643312101910828,-51.364384288747345,0.09025287663935389,942,0.07067922372673333,0.2509377903111301,2.2458833497271162,2.2446002775060574,"{""init"": 30, ""trace_refine"": 505, ""trace_ideate"": 437}"
20260729_230434_obp_v4_rep3,online_bin_packing,version4,Qwen3.6-27B,1000,1517,-724.0,930,16,0.15,6.0,93.0,100,16,0,0,16,0.10289017341040463,-15.872543352601156,0.06926008552083598,865,0.06708606229296857,0.24569011621694328,2.1646124838161627,2.16358932929701,"{""init"": 29, ""trace_refine"": 430, ""trace_ideate"": 435}"
20260728_151736_obp_v5_rep1,online_bin_packing,version5,qwen3.6-27b-awq,1000,1493,-743.5,588,2,0.02,48.0,59.0,100,11,2,9,0,0.02998965873836608,-110.66209927611169,0.05410865493253016,967,0.03149463569462819,0.2396270977321829,2.257385466929387,2.2566671480586513,"{""init"": 30, ""trace_ideate"": 228, ""trace_transfer"": 254, ""trace_synthesize"": 245, ""trace_refine"": 240}"
20260728_151736_obp_v5_rep2,online_bin_packing,version5,qwen3.6-27b-awq,1000,1487,-725.75,887,16,0.13,3.0,69.0,100,23,16,7,0,0.153125,-70.67734375,0.07680683108197592,960,0.042803820428051025,0.23146592125944082,2.2597518632435465,2.257155529429437,"{""init"": 30, ""trace_ideate"": 238, ""trace_synthesize"": 223, ""trace_refine"": 259, ""trace_transfer"": 240}"
20260728_151736_obp_v5_rep3,online_bin_packing,version5,qwen3.6-27b-awq,1000,1492,-730.5,908,5,0.05,66.0,91.0,100,14,5,9,0,0.06604747162022703,-265.2156862745098,0.05148903433771392,969,0.021895862211130747,0.2395194619782394,2.2708212225107727,2.2692680663654174,"{""init"": 30, ""trace_refine"": 233, ""trace_ideate"": 253, ""trace_transfer"": 266, ""trace_synthesize"": 217}"
