run,task,version,model,temperature,repeat,num_samples,llm_calls,best_score,best_sample_order,n_nodes,n_edges,breakthrough_count,breakthrough_rate_w10,first_breakthrough_window,last_breakthrough_window,n_windows,best_update_event_count,strict_fitness_event_count,tie_shorter_count,unclassified_best_update_count,lrr,mean_delta,mean_pcd,mean_code_change_ratio,avg_novelty,init_novelty,mean_h_spatial,mean_h_fitness,operator_mix,outcome_mix,trajectory_selection_count,population_management_count,mean_top5_mass,mean_effective_candidates
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,/home/fzy/models/Qwen3.6-27B-NVFP4,1.0,,1000,66,-8.73613017267702,966,924,897,24,0.18,1,97,100,24,0,0,24,0.1505016722408027,-0.3657792161943712,0.07035422788934509,,0.07134748132051681,0.31213276288631675,2.2069713474410673,2.2065606536006506,"{""trace_ideate"": 468, ""trace_refine"": 429}","{""regress"": 617, ""improve"": 135, ""plateau"": 145}",0,29,,
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,/home/fzy/models/Qwen3.6-27B-NVFP4,1.0,,1000,258,-8.648159476545228,973,955,930,24,0.2,1,98,100,24,0,0,24,0.12903225806451613,-0.48553284715966344,0.07396748004092346,,0.07449398799653084,0.31565395909255417,2.2413096972701663,2.2410793203301878,"{""trace_ideate"": 471, ""trace_refine"": 459}","{""improve"": 120, ""plateau"": 238, ""regress"": 572}",0,30,,
20260723_204526_cvrp_v4_rep3,cvrp_aco,version4,/home/fzy/models/Qwen3.6-27B-NVFP4,1.0,,1000,132,-8.610797366843634,912,949,920,19,0.17,1,57,100,19,0,0,19,0.12934782608695652,-0.6067131277459413,0.06947806596148376,,0.07044928372442988,0.33704922799777376,2.234829582130417,2.234227786192587,"{""trace_refine"": 464, ""trace_ideate"": 456}","{""regress"": 656, ""plateau"": 145, ""improve"": 119}",0,30,,
20260728_151736_cvrp_v5_rep1,cvrp_aco,version5,/home/fzy/models/Qwen3.6-27B-NVFP4,1.0,,1000,1487,-8.692212068318492,978,960,930,30,0.26,1,98,100,38,30,8,0,0.1774193548387097,-1.111462239061995,0.08550169268524062,,0.061348708179597616,0.3100569377387689,2.1854632558236786,2.184887400013952,"{""trace_ideate"": 207, ""trace_transfer"": 228, ""trace_refine"": 261, ""trace_synthesize"": 234}","{""regress"": 638, ""improve"": 165, ""plateau"": 127}",485,30,0.42121987022533763,19.24306592110324
20260728_151736_cvrp_v5_rep2,cvrp_aco,version5,/home/fzy/models/Qwen3.6-27B-NVFP4,1.0,,1000,1486,-8.811063488503025,915,982,952,21,0.15,1,61,100,38,21,17,0,0.14705882352941177,-0.7994979839168163,0.07096846622735735,,0.05375724062396932,0.3193389267049709,2.196457572228698,2.193150825398459,"{""trace_ideate"": 240, ""trace_synthesize"": 227, ""trace_refine"": 250, ""trace_transfer"": 235}","{""improve"": 140, ""regress"": 590, ""plateau"": 222}",484,31,0.4222174966245056,19.174500876411706
20260728_151736_cvrp_v5_rep3,cvrp_aco,version5,Qwen3.6-27B,1.0,,1000,1485,-8.648380692807965,993,977,947,24,0.19,1,69,100,33,24,9,0,0.16261879619852165,-0.4618249114167363,0.09145658115186903,,0.06794738430772895,0.274173247780593,2.22252249193652,2.2221413390577074,"{""trace_refine"": 222, ""trace_transfer"": 256, ""trace_ideate"": 249, ""trace_synthesize"": 220}","{""regress"": 645, ""improve"": 154, ""plateau"": 148}",484,31,0.4168142894617265,19.851666355455226
v6_20260801_183249_cvrp_v6_rep1,cvrp_aco,version6,/home/fzy/models/Qwen3.6-27B-NVFP4,1.0,1.0,1000,1492,-8.689669869689618,674,909,879,24,0.2,1,68,100,24,23,1,0,0.12627986348122866,-1.2297415603438682,0.1557070302499038,,0.11488336033424015,0.3067803817847361,2.1683059439144987,2.1661488708458254,"{""trace_ideate"": 363, ""trace_refine"": 383, ""trace_transfer"": 78, ""trace_synthesize"": 55}","{""regress"": 729, ""improve"": 111, ""plateau"": 39}",490,28,0.4043639158751694,20.39605915155197
v6_20260801_183249_cvrp_v6_rep2,cvrp_aco,version6,/home/fzy/models/Qwen3.6-27B-NVFP4,1.0,2.0,1000,1487,-8.759199614345254,515,933,903,21,0.18,1,52,100,23,21,2,0,0.10852713178294573,-1.1435045230358218,0.14777797521613753,,0.11280021322923711,0.3136035605459053,2.209583611878872,2.2086870107539394,"{""trace_ideate"": 336, ""trace_refine"": 428, ""trace_synthesize"": 73, ""trace_transfer"": 66}","{""regress"": 726, ""improve"": 98, ""plateau"": 79}",485,29,0.38593985357348,21.977705669321093
v6_20260801_183249_cvrp_v6_rep3,cvrp_aco,version6,Qwen3.6-27B,1.0,3.0,1000,1488,-8.569330969820511,966,966,936,26,0.21,1,97,100,28,26,2,0,0.14316239316239315,-0.5229346096664147,0.16128372288986895,,0.11284034914160973,0.2941282404761391,2.2362682589977925,2.2357920993154363,"{""trace_ideate"": 379, ""trace_refine"": 425, ""trace_synthesize"": 64, ""trace_transfer"": 68}","{""regress"": 780, ""improve"": 134, ""plateau"": 22}",486,30,0.3864775206288016,21.706418043601996
20260729_230434_obp_v4_rep1,online_bin_packing,version4,Qwen3.6-27B,1.0,,1000,1490,-724.0,787,981,952,9,0.08,11,79,100,9,0,0,9,0.06827731092436974,-83.08377100840336,0.09619958634952645,,0.0867735379388858,0.2681930400683037,2.265095098354783,2.264879932846205,"{""trace_refine"": 481, ""trace_ideate"": 471}","{""plateau"": 246, ""regress"": 641, ""improve"": 65}",0,31,,
20260729_230434_obp_v4_rep2,online_bin_packing,version4,Qwen3.6-27B,1.0,,1000,1488,-727.0,521,972,942,11,0.11,9,53,100,11,0,0,11,0.07643312101910828,-51.364384288747345,0.09025287663935389,,0.07067922372673333,0.2509377903111301,2.2458833497271162,2.2446002775060574,"{""trace_refine"": 505, ""trace_ideate"": 437}","{""plateau"": 269, ""improve"": 72, ""regress"": 601}",0,31,,
